State 106: {0: np.float64(4.700439718141092), 1: np.float64(5.0), 2: np.float64(4.700439718141092), 3: np.float64(4.700439718141092)}
State 206: {0: np.float64(4.954196310386875), 1: np.float64(5.20945336562895), 2: np.float64(4.954196310386875), 3: np.float64(4.700439718141092)}
State 306: {0: np.float64(5.169925001442312), 1: np.float64(5.357552004618084), 2: np.float64(5.169925001442312), 3: np.float64(5.0)}
State 406: {0: np.float64(5.321928094887363), 1: np.float64(5.321928094887363), 2: np.float64(5.321928094887363), 3: np.float64(5.20945336562895)}
State 506: {0: np.float64(5.426264754702098), 1: np.float64(5.357552004618084), 2: np.float64(5.426264754702098), 3: np.float64(5.20945336562895)}
State 606: {0: np.float64(5.20945336562895), 1: np.float64(5.459431618637297), 2: np.float64(5.459431618637297), 3: np.float64(5.459431618637297)}
State 706: {0: np.float64(5.426264754702098), 1: np.float64(5.357552004618084), 2: np.float64(5.426264754702098), 3: np.float64(5.357552004618084)}
State 806: {0: np.float64(5.321928094887363), 1: np.float64(5.20945336562895), 2: np.float64(5.321928094887363), 3: np.float64(5.459431618637297)}
State 906: {0: np.float64(5.169925001442312), 1: np.float64(5.0), 2: np.float64(4.906890595608519), 3: np.float64(5.357552004618084)}
State 1006: {0: np.float64(4.954196310386875), 1: np.float64(4.700439718141092), 2: np.float64(4.954196310386875), 3: np.float64(5.044394119358453)}
State 1106: {0: np.float64(4.700439718141092), 1: np.float64(4.700439718141092), 2: np.float64(4.700439718141092), 3: np.float64(5.0)}
State 1206: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(4.700439718141092)}
State 7: {0: np.float64(0.0), 1: np.float64(4.700439718141092), 2: np.float64(0.0), 3: np.float64(0.0)}
State 107: {0: np.float64(4.584962500721156), 1: np.float64(4.954196310386875), 2: np.float64(4.700439718141092), 3: np.float64(4.700439718141092)}
State 207: {0: np.float64(4.857980995127572), 1: np.float64(5.169925001442312), 2: np.float64(5.0), 3: np.float64(4.700439718141092)}
State 307: {0: np.float64(5.044394119358453), 1: np.float64(4.584962500721156), 2: np.float64(5.20945336562895), 3: np.float64(4.954196310386875)}
State 407: {0: np.float64(4.857980995127572), 1: np.float64(4.700439718141092), 2: np.float64(4.584962500721156), 3: np.float64(4.459431618637297)}
State 507: {0: np.float64(5.321928094887363), 1: np.float64(4.700439718141092), 2: np.float64(4.700439718141092), 3: np.float64(4.584962500721156)}
State 607: {0: np.float64(5.357552004618084), 1: np.float64(5.169925001442312), 2: np.float64(5.0), 3: np.float64(5.169925001442312)}
State 707: {0: np.float64(5.321928094887363), 1: np.float64(4.584962500721156), 2: np.float64(4.700439718141092), 3: np.float64(4.700439718141092)}
