State 408: {0: 5.044394119358453, 1: 4.954196310386875, 2: 4.584962500721156, 3: 5.044394119358453}
State 508: {0: 5.169925001442312, 1: 5.0, 2: 4.700439718141092, 3: 4.857980995127572}
State 608: {0: 5.459431618637297, 1: 4.954196310386875, 2: 5.20945336562895, 3: 4.954196310386875}
State 708: {0: 5.169925001442312, 1: 4.857980995127572, 2: 4.700439718141092, 3: 5.0}
State 808: {0: 5.044394119358453, 1: 5.20945336562895, 2: 4.584962500721156, 3: 4.954196310386875}
State 908: {0: 5.169925001442312, 1: 4.523561956057013, 2: 4.459431618637297, 3: 4.857980995127572}
State 1008: {0: 4.700439718141092, 1: 4.584962500721156, 2: 4.954196310386875, 3: 4.700439718141092}
State 1108: {0: 4.459431618637297, 1: 4.584962500721156, 2: 4.700439718141092, 3: 4.857980995127572}
State 1208: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.584962500721156}
State 9: {0: 0.0, 1: 4.459431618637297, 2: 0.0, 3: 0.0}
State 109: {0: 4.247927513443585, 1: 4.700439718141092, 2: 4.584962500721156, 3: 4.459431618637297}
State 209: {0: 4.523561956057013, 1: 4.906890595608519, 2: 4.857980995127572, 3: 4.459431618637297}
State 309: {0: 4.700439718141092, 1: 5.044394119358453, 2: 5.044394119358453, 3: 4.700439718141092}
State 409: {0: 4.857980995127572, 1: 5.169925001442312, 2: 4.857980995127572, 3: 4.906890595608519}
State 509: {0: 4.954196310386875, 1: 5.20945336562895, 2: 4.954196310386875, 3: 5.044394119358453}
State 609: {0: 5.0, 1: 5.169925001442312, 2: 5.491853096329675, 3: 5.169925001442312}
State 709: {0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 5.20945336562895}
State 809: {0: 4.857980995127572, 1: 4.906890595608519, 2: 4.857980995127572, 3: 5.169925001442312}
State 909: {0: 4.700439718141092, 1: 4.700439718141092, 2: 4.700439718141092, 3: 5.321928094887363}
State 1009: {0: 4.523561956057013, 1: 4.459431618637297, 2: 4.857980995127572, 3: 4.906890595608519}
State 1109: {0: 4.247927513443585, 1: 4.459431618637297, 2: 4.584962500721156, 3: 4.700439718141092}
State 1209: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.459431618637297}
State 10: {0: 0.0, 1: 4.247927513443585, 2: 0.0, 3: 0.0}
State 110: {0: 4.0, 1: 4.523561956057013, 2: 4.459431618637297, 3: 4.247927513443585}
State 210: {0: 4.247927513443585, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.247927513443585}
State 310: {0: 4.459431618637297, 1: 4.857980995127572, 2: 4.906890595608519, 3: 4.523561956057013}
State 410: {0: 4.584962500721156, 1: 4.954196310386875, 2: 5.044394119358453, 3: 4.700439718141092}
State 510: {0: 4.700439718141092, 1: 5.0, 2: 5.169925001442312, 3: 4.857980995127572}
State 610: {0: 4.700439718141092, 1: 4.954196310386875, 2: 5.459431618637297, 3: 4.954196310386875}
State 710: {0: 5.169925001442312, 1: 4.857980995127572, 2: 5.169925001442312, 3: 5.0}
State 810: {0: 4.584962500721156, 1: 4.700439718141092, 2: 5.321928094887363, 3: 4.954196310386875}
State 910: {0: 4.459431618637297, 1: 4.523561956057013, 2: 4.906890595608519, 3: 4.857980995127572}
State 1010: {0: 4.247927513443585, 1: 4.247927513443585, 2: 4.700439718141092, 3: 4.700439718141092}
State 1110: {0: 4.0, 1: 4.247927513443585, 2: 4.459431618637297, 3: 4.523561956057013}
State 1210: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.247927513443585}
State 11: {0: 0.0, 1: 4.0, 2: 0.0, 3: 0.0}
State 111: {0: 4.0, 1: 4.247927513443585, 2: 4.247927513443585, 3: 4.0}
State 211: {0: 4.247927513443585, 1: 4.459431618637297, 2: 4.523561956057013, 3: 4.0}
State 311: {0: 4.459431618637297, 1: 4.584962500721156, 2: 4.700439718141092, 3: 4.247927513443585}
State 411: {0: 4.584962500721156, 1: 4.700439718141092, 2: 4.857980995127572, 3: 4.459431618637297}
State 511: {0: 4.954196310386875, 1: 5.20945336562895, 2: 4.954196310386875, 3: 5.321928094887363}
State 611: {0: 5.357552004618084, 1: 5.169925001442312, 2: 5.357552004618084, 3: 4.700439718141092}
State 711: {0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 4.700439718141092}
State 811: {0: 4.584962500721156, 1: 4.459431618637297, 2: 5.20945336562895, 3: 4.700439718141092}
State 911: {0: 4.459431618637297, 1: 4.247927513443585, 2: 4.700439718141092, 3: 4.584962500721156}
State 1011: {0: 4.247927513443585, 1: 4.0, 2: 4.523561956057013, 3: 4.459431618637297}
State 1111: {0: 4.0, 1: 4.0, 2: 4.247927513443585, 3: 4.247927513443585}
State 1211: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.0}
State 12: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 112: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 212: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 312: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 412: {0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}
State 512: {0: 5.169925001442312, 1: 5.0, 2: 5.169925001442312, 3: 5.357552004618084}
State 612: {0: 0.0, 1: 4.954196310386875, 2: 5.459431618637297, 3: 5.459431618637297}
State 712: {0: 4.700439718141092, 1: 5.357552004618084, 2: 5.169925001442312, 3: 5.0}
State 812: {0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}
State 912: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 1012: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 1112: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 1212: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 13: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 113: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 213: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 313: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 413: {0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}
State 513: {0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}
State 613: {0: 0.0, 1: 0.0, 2: 5.357552004618084, 3: 0.0}
State 713: {0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 5.20945336562895}
State 813: {0: 0.0, 1: 0.0, 2: 5.20945336562895, 3: 5.169925001442312}
State 913: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 1013: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 1113: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 1213: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 14: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 114: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 214: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 314: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 414: {0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}
State 514: {0: 0.0, 1: 0.0, 2: 4.700439718141092, 3: 0.0}
State 614: {0: 0.0, 1: 0.0, 2: 4.700439718141092, 3: 0.0}
State 714: {0: 0.0, 1: 0.0, 2: 5.169925001442312, 3: 0.0}
State 814: {0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}
State 914: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 1014: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 1114: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 1214: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 15: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 115: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 215: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 315: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 415: {0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}
State 515: {0: 0.0, 1: 0.0, 2: 4.700439718141092, 3: 0.0}
State 615: {0: 0.0, 1: 0.0, 2: 4.700439718141092, 3: 0.0}
State 715: {0: 0.0, 1: 0.0, 2: 4.700439718141092, 3: 0.0}
State 815: {0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}
State 915: {0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}
State 1015: {0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}
State 1115: {0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}
State 1215: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
