State 8: {0: 0.012327606293221272, 1: 0.0860858987033116, 2: 0.050291552062024986, 3: 0.016537538057435196}
State 108: {0: 29.906572790153277, 1: 38.783243671556335, 2: 30.341965009991302, 3: 36.258317458415476}
State 208: {0: 35.24626365932526, 1: 32.23069601977334, 2: 35.5553320417545, 3: 38.64713649619065}
State 308: {0: 23.61679202572705, 1: 13.402362208610551, 2: 35.35223894385216, 3: 26.16554887952804}
State 408: {0: 10.4660430477166, 1: 10.482735838815087, 2: 10.660804100096447, 3: 23.07657779689677}
State 508: {0: 6.198057292672306, 1: 8.671728007674709, 2: 14.960690296469629, 3: 8.39274166402153}
State 608: {0: 5.386093256387542, 1: 4.351778627896948, 2: 10.795469212385909, 3: 6.188761643788842}
State 708: {0: 3.9956942870673116, 1: 5.458664306365904, 2: 2.5875432668969385, 3: 8.162554837980814}
State 808: {0: 2.80235180107631, 1: 6.874899330219224, 2: 0.7295680386200875, 3: 2.6615383285691756}
State 908: {0: 1.1513727758472887, 1: 1.0587649672312531, 2: 2.4639141656440136, 3: 6.268334975178665}
State 1008: {0: 0.0724620906751312, 1: 0.5128968504048608, 2: 0.06305803184499381, 3: 1.313010289043548}
State 1108: {0: 0.07292677935029047, 1: 2.1380198803988923, 2: 1.0862951255851283, 3: 0.5250933180854624}
State 1208: {0: 0.024641567062065908, 1: 0.0995713058651989, 2: 0.06737246054296271, 3: 0.07125972041678656}
State 9: {0: 0.037041628855166264, 1: 0.007891645089485788, 2: 0.030827702980968076, 3: 0.08258074306496571}
State 109: {0: 11.587819872989371, 1: 33.40091216341084, 2: 21.861706936110686, 3: 18.793408383668552}
State 209: {0: 21.474676642858782, 1: 24.93953763892187, 2: 36.3726682329366, 3: 25.755441234912276}
State 309: {0: 6.59541389725645, 1: 10.678221852729713, 2: 31.458209222876633, 3: 14.788720126376631}
State 409: {0: 16.074281073703677, 1: 13.29081398669572, 2: 11.656725155839943, 3: 15.142178824770362}
State 509: {0: 4.532550052568775, 1: 7.602063665736734, 2: 6.0048054875344405, 3: 16.64629515585201}
State 609: {0: 2.483004247246548, 1: 2.2957401979015524, 2: 2.068492363007525, 3: 10.001956184284698}
State 709: {0: 5.194691876385962, 1: 0.013401573407115308, 2: 1.871237201873173, 3: 2.8868085790717517}
State 809: {0: 1.9741418971512927, 1: 0.5054931382841066, 2: 3.3265402079510116, 3: 0.609459990888769}
State 909: {0: 1.0657784995688586, 1: 0.0702246630013132, 2: 0.033453077399308674, 3: 0.09186230025553678}
State 1009: {0: 0.09892255788387182, 1: 0.5884845160993878, 2: 0.08074237383819535, 3: 0.017639224062622173}
State 1109: {0: 0.5153466413617451, 1: 2.3530258271759097, 2: 0.5474633353926293, 3: 0.033114803077770386}
State 1209: {0: 0.0246510097075223, 1: 0.013737883721624322, 2: 0.03035319887412591, 3: 0.07836944774329174}
State 10: {0: 0.03187748877137932, 1: 0.011229859673756415, 2: 0.03868704910851254, 3: 0.0840468844697596}
State 110: {0: 3.710305455819502, 1: 4.533750872770501, 2: 17.845836370538184, 3: 6.951972518629266}
State 210: {0: 6.559281346952073, 1: 7.587207078221768, 2: 27.12678061019248, 3: 6.4704656763646}
State 310: {0: 5.495998841886607, 1: 11.91355267005877, 2: 4.128125925485012, 3: 3.70726183409452}
State 410: {0: 9.974176139935, 1: 8.163819870897324, 2: 15.627323026354162, 3: 4.337727896465979}
State 510: {0: 5.539431941199231, 1: 1.4231156185979912, 2: 11.169056268836584, 3: 4.619118391054547}
State 610: {0: 4.157722586189387, 1: 2.2799944896351505, 2: 0.06513408718484756, 3: 2.2034025627451785}
State 710: {0: 2.8140895535016366, 1: 2.8626552619745267, 2: 4.2542246849899685, 3: 2.7376827115400895}
State 810: {0: 1.635052819238798, 1: 0.09018757412536116, 2: 2.078525104966574, 3: 3.3833645180317777}
State 910: {0: 0.668800791216214, 1: 0.5549581177614371, 2: 0.07100555296235497, 3: 1.2691616916625486}
