State 570: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 571: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 572: {0: 0.096, 1: 0.096, 2: 0.096, 3: 2.4502898291543684}
State 573: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 670: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 671: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 672: {0: 0.096, 1: 0.096, 2: 0.096, 3: 0.096}
State 673: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 770: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 771: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 772: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 773: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 870: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 871: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 872: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 873: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 970: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 971: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 972: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 973: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1070: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1071: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1072: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
