State 1200: {0: 0.05916968126008392, 1: 0.04110397988048912, 2: 0.014634390533156783, 3: 0.06113779713237836}
State 1201: {0: 0.03878304205671578, 1: 0.08934185087920003, 2: 0.02958231072800971, 3: 0.00913605406603124}
State 1202: {0: 0.07044683304642221, 1: 0.07606471592759233, 2: 0.07631646578388478, 3: 0.02709443438016114}
State 1203: {0: 0.09442551104486979, 1: 0.04817739930858447, 2: 0.014265252690390607, 3: 0.07314093095949165}
State 4: {0: 0.08873271080501394, 1: 0.03973747541761627, 2: 0.09488702950272454, 3: 0.07983121113847003}
State 104: {0: np.float64(2.4994021785515255), 1: np.float64(2.0088193387164472), 2: np.float64(1.7724551114714215), 3: np.float64(2.5137977229384147)}
State 204: {0: np.float64(2.5250050949173555), 1: np.float64(0.570808592055356), 2: 0.020220409229370153, 3: np.float64(1.5872622280301734)}
State 304: {0: 0.03026859237578358, 1: 0.07626463682478933, 2: 0.05006845933116211, 3: np.float64(1.1421757983232839)}
State 404: {0: 0.02357710547811285, 1: 0.02282992710464571, 2: 0.017905958341922167, 3: 0.048172706774559974}
State 504: {0: 0.061656030883179405, 1: 0.0996310036749941, 2: 0.0506535517537053, 3: 0.01862158905743825}
State 604: {0: np.float64(0.6131085013842938), 1: np.float64(0.6196348729840492), 2: 0.0988439830516571, 3: 0.009397815375287999}
State 704: {0: 0.051225355600331035, 1: np.float64(0.5914793146812135), 2: np.float64(0.5265299728858496), 3: np.float64(0.6037930670378646)}
State 804: {0: np.float64(0.6326582632170695), 1: 0.09170502555443397, 2: np.float64(0.6516910778048265), 3: np.float64(0.6579001882031932)}
State 904: {0: 0.016769456000743446, 1: 0.04747553776932442, 2: 0.002343923982802887, 3: 0.07155478256607185}
State 1004: {0: 0.009654896162791637, 1: 0.09192600674562626, 2: 0.03121156628255576, 3: 0.01295788109019398}
State 1104: {0: 0.014156015668856693, 1: 0.021447286164582947, 2: 0.09730249437850436, 3: 0.04273310620511881}
State 1204: {0: 0.0399216825973882, 1: 0.0599849894441003, 2: 0.08925754323155034, 3: 0.02495232238590255}
State 5: {0: 0.014327683779526236, 1: 0.0961396552124099, 2: 0.02206551275736396, 3: 0.09358377610602933}
State 105: {0: np.float64(2.0228067874808358), 1: np.float64(2.2899812540844513), 2: np.float64(3.6619000684879657), 3: np.float64(2.196254112076579)}
State 205: {0: np.float64(3.165788326539454), 1: np.float64(2.1969575222711084), 2: np.float64(1.385975461520621), 3: np.float64(3.195765805242994)}
State 305: {0: np.float64(1.203873585636296), 1: np.float64(4.460565206048951), 2: np.float64(2.8089885381930766), 3: np.float64(1.4330194075256122)}
State 405: {0: np.float64(3.546109641331818), 1: np.float64(4.1393227646296085), 2: np.float64(1.9750739561186028), 3: np.float64(2.2758540208579214)}
State 505: {0: np.float64(2.8671541709352644), 1: np.float64(3.06497219811389), 2: 0.0863434825059007, 3: np.float64(2.912812819697219)}
State 605: {0: np.float64(1.7039835278200592), 1: np.float64(1.5642741227684271), 2: np.float64(1.1064997749090995), 3: np.float64(2.6793409395779912)}
State 705: {0: np.float64(1.2363422401842583), 1: np.float64(0.9781659781164562), 2: np.float64(1.9846582678406048), 3: np.float64(0.7372891518471931)}
State 805: {0: np.float64(0.49884152620390493), 1: 0.09457322906157589, 2: np.float64(0.6088144926670744), 3: np.float64(0.5952237956346953)}
State 905: {0: 0.08871143368550874, 1: 0.07415990245403829, 2: 0.08714003243994674, 3: 0.0008886006449301709}
State 1005: {0: 0.08917612694644662, 1: 0.08901156133437502, 2: 0.09296620002131045, 3: 0.020512660506157333}
State 1105: {0: 0.0954650261711602, 1: 0.0034797295911880746, 2: 0.0276788995938881, 3: 0.07863182524707361}
State 1205: {0: 0.06761486716706537, 1: 0.0736042839983778, 2: 0.09608481627814117, 3: 0.03898467418297738}
State 6: {0: 0.09478332662523152, 1: 0.07413720947541433, 2: 0.06048626574900982, 3: 0.015447219989249285}
State 106: {0: np.float64(3.0548499414144397), 1: np.float64(2.4289956702048614), 2: np.float64(1.2849038826503807), 3: np.float64(3.1654340233039937)}
State 206: {0: np.float64(1.4378120943189583), 1: np.float64(3.2504186153160783), 2: np.float64(3.2740667322809456), 3: np.float64(2.213034438290717)}
State 306: {0: np.float64(2.021839623448309), 1: np.float64(1.575600998822053), 2: np.float64(3.12536329586518), 3: 0.040660224437814245}
State 406: {0: np.float64(2.6472602959478504), 1: np.float64(2.552854769727414), 2: np.float64(2.8919022967614136), 3: 0.08176669637134161}
State 506: {0: np.float64(3.439703361037551), 1: np.float64(3.021964831689003), 2: np.float64(1.3068887351492084), 3: np.float64(1.3862910364317353)}
State 606: {0: np.float64(2.162600929784409), 1: np.float64(1.6873019196972159), 2: np.float64(2.4020399956938636), 3: np.float64(0.72202017843905)}
State 706: {0: np.float64(1.2207508068609203), 1: np.float64(0.6141456163433786), 2: np.float64(1.5594359130129467), 3: np.float64(1.3692879212312636)}
State 806: {0: np.float64(0.5688964256989579), 1: 0.07580352529588581, 2: 0.016811966523306767, 3: np.float64(0.654794452685995)}
State 906: {0: 0.014870506001408568, 1: 0.042298517433272155, 2: 0.017013180352290925, 3: 0.08844030377856038}
State 1006: {0: 0.06912510804366946, 1: 0.010783265928275288, 2: 0.01815818846910996, 3: 0.09503390059818412}
